ID;CREDPAY;MEST;CHLICO;DOXODSN;DENRAS
11737;15408;1;4;209253,22;191345,22
11738;22500;1;2;204379,91;174379,91
11739;0;1;3;116442;113942
11740;0;1;3;45816;85816
11741;0;1;1;22703,5;22203,5
11742;0;1;4;56449;55949
11743;0;1;4;69759;69309
11744;0;1;5;119367,79;119367,79
11745;0;1;1;74526,23;74526,23
11746;0;1;4;126047,14;126047,14
11747;0;1;2;66717,08;66717,08
11748;8010;1;2;47778,32;39268,32
11749;0;1;1;61819;60819
11750;22500;1;1;106289;82789
11751;0;1;3;106153;105153
11752;0;1;2;101291,5;100291,5
11753;60000;1;3;291986;214486
11754;0;1;3;78675;76175
11755;12600;1;2;170337;145237
11756;0;1;3;159917;147417
11757;40100;1;5;174447,75;134147,75
11758;0;1;1;46158,28;41158,28
11759;0;1;1;50983,73;50483,73
11760;0;1;3;74904,11;71904,11
11761;11700;1;4;92576,15;80476,15
11762;0;1;1;57490,03;47490,03
11763;0;1;1;39102,04;29102,04
11764;0;1;1;54116,56;52116,56
11765;5550;1;2;92961,25;84411,25
11766;0;1;1;48106,75;47606,75
11767;9300;1;2;84251,59;68951,59
11768;14290;1;1;70770,74;51480,74
11769;0;1;2;69074,7;66074,7
11770;0;1;3;161089,19;160089,19
11771;12000;1;2;146498,86;132498,86
11772;0;1;1;52899,09;52599,09
11773;0;1;2;95656,97;95156,97
11774;0;1;2;91517,46;84017,46
11775;0;1;2;58642,12;58142,12
11776;0;1;2;67466,47;64966,47
11777;0;1;2;68735,11;66235,11
11778;0;1;2;78156,25;76456,25
11779;0;1;2;112043,05;112043,05
11780;0;1;1;40889,84;40889,84
11781;24000;1;4;149443,07;125443,07
11782;26000;1;2;126410,15;100410,15
11783;0;1;1;75749,8;75749,8
11784;0;1;1;36184,6;34184,6
11785;0;1;1;32197;32197
11786;0;1;2;97632,5;95632,5
11826;0;1;1;58957,17;58157,17
11827;0;1;4;85911,71;85411,71
11828;0;1;3;103661,9;103261,9
11829;0;1;3;104037,37;103737,37
11830;42720;1;2;112723,97;70003,97
11831;19500;1;4;93326,11;73826,11
11832;0;1;2;111744,1;99244,1
11833;12000;1;2;99375,96;74875,96
11834;24000;1;4;65574,65;41574,65
11836;0;1;2;37498,5;36998,5
11837;0;1;3;35236,5;35236,5
11838;0;1;4;48549,5;48099,5
11839;0;1;3;57123,5;66023,5
11840;0;1;4;91592,75;91492,75
11841;0;1;3;89353,21;89353,21
11842;0;1;3;109888,47;109888,47
11843;0;1;1;60469,98;60469,98
11845;14700;1;3;105259,45;36559,45
11846;58473,6;1;2;108025,83;46552,23
11847;0;1;2;79202;74202
11848;0;1;2;61464;60464
11849;0;1;1;61091,5;65091,5
11850;0;1;1;53713,5;52713,5
11851;0;1;1;33913;32913
11852;7350;1;1;70052,5;55202,5
11853;12000;1;5;224549,5;205049,5
11854;0;1;3;118048,5;110548,5
11855;0;1;1;68835,75;60835,75
11856;0;1;2;45802,2;45502,2
11857;0;1;2;94525,24;93925,24
11858;7500;1;2;81665,81;69665,81
11859;0;1;3;49383,29;49183,29
11860;0;1;1;69352,6;54352,6
11861;0;1;1;53515,04;53015,04
11862;0;1;2;119244,06;117744,06
11864;0;1;1;49931,89;49531,89
11865;0;1;2;71297,14;70297,14
11866;0;1;1;63195,85;61695,85
11867;30000;1;3;124599,04;92099,04
11868;4000;1;2;88771,75;84671,75
11869;1800;1;2;94807,75;88007,75
11870;0;1;5;80008,5;79508,5
11871;0;1;3;68777,5;68277,5
11872;0;1;1;43580,24;42580,24
11873;9891;1;3;63358,64;46467,64
11874;0;1;1;62729,5;60729,5
11875;37500;1;1;98393,5;58893,5
11876;0;1;2;52348;51348
11877;0;1;1;59805,5;55805,5
11878;26800;1;1;130688,5;334388,5
11879;2132,67;1;3;128549,48;125616,81
11880;0;1;3;168787,5;161287,5
11882;0;1;2;80348,78;80348,78
11883;0;1;2;61910,97;61910,97
11884;0;1;1;36931,22;36931,22
11885;16000;1;3;86905,56;90905,56
11886;9840;1;1;34168,81;27328,81
11887;0;1;3;135827,57;135827,57
11888;0;1;3;62512,14;62512,14
11889;0;1;1;53727,35;53727,35
11890;0;1;2;126555,99;126555,99
11891;0;1;3;77469,6;67469,6
11892;16200;1;5;98729,5;75029,5
11893;0;1;1;32612;27612
11894;0;1;1;53897;52897
11923;0;1;2;65461,5;57961,5
11924;0;1;3;181929;174429
11926;6627;1;2;115038,91;107411,91
11927;0;1;1;33863,95;33363,95
11930;0;1;1;93518,97;90018,97
11931;8790;1;3;152997,84;142707,84
11932;6351;1;3;96732,1;80381,1
11933;0;1;3;124688,5;124688,5
11934;0;1;2;114344,15;101844,15
11935;0;1;1;92535,43;92535,43
11936;0;1;2;116970,34;114970,34
11937;6000;1;1;65647,64;68947,64
11938;11500;1;2;153437,78;141437,78
11939;0;1;1;55674,13;52674,13
11940;0;1;2;58601,5;58601,5
11941;0;1;2;78200,65;75700,65
11942;0;1;2;69645,82;69645,82
11943;0;1;2;55130,92;55130,92
11944;0;1;1;98133,48;98133,48
11945;0;1;1;57596,34;57596,34
11946;7200;1;2;54195,34;46995,34
11948;0;1;2;164268,53;164268,53
11949;0;1;2;132742,92;212742,92
11950;15000;1;2;106407,44;91407,44
11951;36000;1;3;111171,45;65171,45
11952;0;1;3;122416,2;82416,2
11953;530;1;1;51495,75;50965,75
11954;0;1;2;44954,8;44954,8
11955;21927;1;2;100634,25;78707,25
11957;0;1;3;127387;126387
11958;0;1;2;63568,5;60568,5
11960;0;1;1;25489,5;25489,5
11961;0;1;1;44143,25;43643,25
12011;0;1;2;74287,15;73487,15
12012;0;1;2;55807,58;55307,58
12013;0;1;2;74659,55;82459,55
12014;6200;1;2;91944,28;85744,28
12015;0;1;4;97030,92;89530,92
12016;0;1;2;129664,88;107164,88
12017;0;1;1;117742,5;100242,5
12018;52000;1;2;136253,5;81753,5
12019;0;1;2;70298,29;67798,29
12020;0;1;2;46994,5;45994,5
12021;0;1;3;134253,14;132253,14
12022;3300;1;2;79156,18;75856,18
12023;0;1;2;78516,66;77516,66
12024;0;1;3;97504,37;96504,37
12025;9900;1;2;94290,45;74390,45
12026;46981,2;1;3;100663,28;45682,08
12027;9750;1;3;77551,11;65801,11
12028;0;1;2;58000,6;53000,6
12030;0;1;2;56341;55341
12031;0;1;3;104326;102326
12032;0;1;2;67796,5;66796,5
12034;20000;1;2;119632,5;97132,5
12035;0;1;1;53078;50578
12036;0;1;3;149980,5;142480,5
12037;8100;1;3;92617,02;83817,02
12038;0;1;2;42748,86;42248,86
12039;0;1;1;53665,95;50665,95
12040;0;1;1;45748,41;45748,41
12041;35418;1;3;106627,1;51209,1
12042;22776,51;1;3;97179,35;64402,84
12043;0;1;1;62515,93;62315,93
12045;0;1;1;51147,26;51147,26
12046;0;1;1;40628,25;40628,25
12047;35100;1;2;227883,63;492783,63
12048;24000;1;2;103485,2;69485,2
12049;0;1;2;45838,05;45838,05
12051;0;1;1;45075,5;45075,5
12092;0;1;3;94650,42;94250,42
12093;0;1;2;92296,83;92196,83
12094;0;1;2;109265,29;86765,29
12095;0;1;3;159999,5;157499,5
12096;10000;1;2;74298,75;84298,75
12097;0;1;4;54906;54806
12098;0;1;4;79348,5;78848,5
12099;0;1;5;78006;77556
12100;0;1;3;115687,47;115687,47
12101;0;1;2;61643,66;61643,66
12102;3900;1;1;77771,96;73871,96
12103;0;1;3;115604,99;115104,99
12104;45900;1;3;142051,92;96151,92
12105;9000;1;2;49932,94;38932,94
12106;9000;1;2;62958,83;53958,83
12107;0;1;2;86270;85270
12108;0;1;1;134622,5;132622,5
12109;46922;1;4;242297;194375
12110;0;1;2;99485;98485
12111;0;1;1;50111,5;47611,5
12112;0;1;2;140040,5;132540,5
12114;3480;1;2;115151;104171
12116;11950;1;1;40262,13;27812,13
12117;0;1;2;70502,67;65502,67
12118;10800;1;4;132691,94;121291,94
12119;0;1;3;97829,33;97229,33
12120;0;1;2;71006,07;71006,07
12123;0;1;2;100839,8;73339,8
12124;0;1;2;111645,25;109145,25
12125;0;1;2;73005,31;72505,31
12126;15000;1;3;163236,25;162236,25
12127;0;1;4;120441,31;118441,31
12128;0;1;2;145828,09;242828,09
12129;0;1;2;208645,97;153645,97
12132;37280;1;3;195830,27;158550,27
12133;0;1;2;167609,73;167609,73
12134;0;1;1;59378,81;59378,81
12136;2750;1;1;45124;42374
12138;0;1;2;78960,05;78960,05
12140;0;1;1;35912,85;35912,85
12142;19500;1;3;117326,5;87826,5
12143;0;1;2;73975,25;71475,25
12144;24000;1;2;107601,5;81101,5
12145;0;1;3;145557,5;145557,5
12185;0;1;2;67561,68;66761,68
12186;0;1;2;84095,31;83095,31
12189;0;1;2;81161,98;81161,98
12192;0;1;2;197339,02;197039,02
12195;0;1;2;97016,5;79516,5
12196;0;1;1;144889,5;144189,5
12200;30768;1;2;83455,99;52687,99
12201;5751;1;2;63525,52;57774,52
12202;10200;1;3;60916,88;40716,88
12203;19000;1;3;101833,53;79833,53
12205;0;1;3;56465,5;55465,5
12208;31500;1;3;241578;197578
12209;12000;1;4;182910;148410
12210;14700;1;2;189051;166851
12212;0;1;3;179014,5;166514,5
12217;68000;1;1;133536,32;65036,32
12218;0;1;2;77099,09;92099,09
12223;0;1;1;39556,88;37056,88
12224;0;1;1;64756,04;64256,04
12225;0;1;2;223706,78;203706,78
12228;10200;1;2;178806,53;148606,53
12229;0;1;2;51276,81;51276,81
12231;0;1;2;54687,41;54687,41
12232;0;1;2;77953,66;77953,66
12238;16500;1;4;108244,85;71744,85
12239;0;1;1;46808,15;46808,15
12240;0;1;1;30317;27817
12287;0;1;2;75378,89;74778,89
12288;0;1;1;73123,84;72623,84
12290;0;1;2;67837,2;60337,2
12291;30000;1;3;64553,98;62053,98
